DATE OF,SetUp,ChangedBy,Unit,RE,AR,TOWN,NAME,ID,COUNTRY,SCHEME,Phone,Fax,Address0,Address1,Address2,Address3,Address4,Address5,Postcode,Brands,Host,ISSIHost,PNO,Site,TYPE,OpenDate,CloseDate,CMODDATE,OMODDATE,NMODDATE,NSF,FLOORS,Access,GRADE,Pager,Email,Delete,NotesLive,Trading Status,Graphic Tier,Planning Tier,Linear Space,Manager Name,Manager Title,DC,MWOnly,WiFi,LP_Region,LP_Area,EurCon,TOWNSIAS,FFCostCentre,ISSO3,SmartPick,InternationalType
,,,,,,LONDON (OXFORD CIRCUS),OXFORD CIRCUS,BR2913,ENG,,,,,214 Oxford Street,Oxford Circus,West End,Greater London,England,W1W 8LG,,TS0001,TM7329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (OXFORD CIRCUS),LONDON OXFORD CIRCUS,MS0325,ENG,,,,C/o Miss Selfridge,"Ground Floor, 36-38 Great Castle Street",Oxford Circus,West End,Greater London,England,W1W 8LG,,TS0001,TS0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (CITY),CHEAPSIDE TS INSERT,MS1882,ENG,,,,c/o Topshop,Unit Msu1,1 New Change,City Of London,Greater London,England,EC2V 6AH,,TS0873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (WHITE CITY),WHITE CITY TS INSERT,MS1883,ENG,,,,c/o Topshop,2039-2041,Westfield,White City,Greater London,England,W12 7GE,,TS0874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (KNIGHTSBRIDGE),KNIGHTSBRIDGE,TM7014,ENG,,,,,70 Brompton Road,,Knightsbridge,Greater London,England,SW3 1ER,,TS1054,TS1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (OXFORD CIRCUS),OXFORD CIRCUS,TM7329,ENG,,,,,214 Oxford Street,Oxford Circus,West End,Greater London,England,W1W 8LG,,TS0001,TS0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (CITY),CHEAPSIDE,TM7580,ENG,,,,,Unit Msu1,1 New Change,City Of London,Greater London,England,EC2V 6AH,,TS0873,TS0873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (WHITE CITY),WHITE CITY,TM7588,ENG,,,,c/o Topshop,3037-3042,Westfield,White City,Greater London,England,W12 7GE,,TS0874,TS0874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (STRAND),STRAND,TM8137,ENG,,,,c/o Top Shop,60/64 The Strand,,Strand,Greater London,England,WC2N 5LR,,TS0032,TS0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (MARBLE ARCH),MARBLE ARCH,TM8757,ENG,,,,536-540,Oxford Street,Marylebone,West End,Greater London,England,W1C 1LS,,TS1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (OXFORD CIRCUS),OXFORD CIRCUS,TS0001,ENG,,,,,214 Oxford Street,Oxford Circus,West End,Greater London,England,W1W 8LG,,TS0001,TS0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (STRAND),STRAND,TS0032,ENG,,,,,60/64 The Strand,,Strand,Greater London,England,WC2N 5LR,,TS0032,TS0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (CITY),CHEAPSIDE,TS0873,ENG,,,,,Unit Msu1,1 New Change,City Of London,Greater London,England,EC2V 6AH,,TS0873,TS0873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (WHITE CITY),WHITE CITY,TS0874,ENG,,,,,2039-2041,Westfield,White City,Greater London,England,W12 7GE,,TS0874,TS0874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (KNIGHTSBRIDGE),KNIGHTSBRIDGE,TS1054,ENG,,,,,70 Brompton Road,,Knightsbridge,Greater London,England,SW3 1ER,,TS1054,TS1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LONDON (MARBLE ARCH),MARBLE ARCH,TS1319,ENG,,,,,536-540 Oxford Street,,West End,Greater London,England,W1C 1LS,,TS1319,TS1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
