,Host ID,Host Lat,Host Lng,TOWN,NAME,COUNTRY,Address1,Postcode,PNO,NSF,Branch IDs,Venue ID,Venue Name,Venue Distance,Venue Address,Venue Lat,Venue Lng,Venue Category
0,TM7157,53.5416716023565,-2.11224577491091,OLDHAM,OLDHAM,ENG,Unit 3,OL1 1XE,1361,2200,TM7157,4b7ec528f964a52010fe2fe3,JD Sports,2522,"['16-18 Arndale Centre, Barbarolli Mall', 'Manchester', 'M4 3AB', 'United Kingdom']",53.45931779283866,-2.2428121987419445,Sporting Goods Shop
1,TM7345,53.1896462036395,-2.8892523267285,CHESTER,CHESTER,ENG,12/14 St Michael's Square,CH1 1EE,1748,3300,"TM7345,TS0324",4df4af55ae609e69dd9dd0ad,JD Sports,167,"['9 Foregate Street', 'Chester', 'Cheshire', 'CH1 1HD', 'United Kingdom']",53.167487,-2.974228,Sporting Goods Shop
2,TM7782,51.520023146057504,-0.07425067734535,SHOREDITCH,SHOREDITCH,ENG,98 Commercial Street,E1 6LZ,968,1150,TM7782,4ac518f1f964a520ecad20e3,JD Sports,4555,"['197-203 Oxford Street', 'West End', 'Greater London', 'W1D 2LE', 'United Kingdom']",51.5152391,-0.1395672,Sporting Goods Shop
3,TM7815,54.52634986450111,-1.55435054934217,DARLINGTON,DARLINGTON,ENG,28-34 Northgate,DL1 1NR,1660,2478,TM7815,4e74781b1f6e072f1337d4ab,JD Sports,87,"['Unit 26 34 The Cornmill Sc', 'Darlington', 'DL1 1LS', 'United Kingdom']",54.526276,-1.553008,Sporting Goods Shop
4,TM7939,51.4106283,-0.3025727,KINGSTON,KINGSTON UPON THAMES,ENG,40 Clarence Street,KT1 1NR,7017,2097,TM7939,4c0f573a2466a5931e797a21,JD Sports,167,"['163 High Street', 'Sutton', 'Greater London', 'SM1 1JN', 'United Kingdom']",51.33364326384707,-0.3049785,Sporting Goods Shop
5,TM8134,55.86386266763021,-4.25318293851664,GLASGOW,GLASGOW BUCHANAN ST,SCO,The George Unit 1& 2,G1 2NG,404,8404,"TM8134,TS2876",4bf93d4f8d30d13ae8da0118,JD Sports,684,"['87-91 Argyle Street (St Enoch Shopping Centre)', 'Glasgow', 'Glasgow City', 'G2 8BJ', 'United Kingdom']",55.844825300000004,-4.433959,Sporting Goods Shop
6,TS0001,51.5155336,-0.141352,LONDON (OXFORD CIRCUS),OXFORD CIRCUS,ENG,214 Oxford Street,W1W 8LG,8512,69207,"TM7329,TS0001",4ac518f1f964a520ecad20e3,JD Sports,127,"['197-203 Oxford Street', 'West End', 'Greater London', 'W1D 2LE', 'United Kingdom']",51.428388,-0.167446,Sporting Goods Shop
7,TS0003,51.5744922,-0.22156460000000003,BRENT CROSS,BRENT CROSS,ENG,"Unit 72, Brent Cross Shopping Centre",NW4 3FP,780,11237,"TM7218,TS0003",4ac518f1f964a520ecad20e3,JD Sports,4334,"['197-203 Oxford Street', 'West End', 'Greater London', 'W1D 2LE', 'United Kingdom']",51.5152391,-0.280536,Sporting Goods Shop
8,TS0004,53.404741226549795,-2.98254078973347,LIVERPOOL,LIVERPOOL,ENG,22/36 Church Street,L1 3AY,1479,20200,"TM7256,TS0004",4bace318f964a520f6153be3,JD Sports,216,"['145-146 Charlotte Way St Johns Precinct (St Johns Precinct)', 'Liverpool', 'L1 1NA', 'United Kingdom']",53.34152680297333,-3.0263291000000003,Sporting Goods Shop
9,TS0005,54.956483089938004,-1.6689083161523,GATESHEAD (METRO),GATESHEAD METRO CENTRE,ENG,Unit 57 Cameron Walk,NE11 9YR,1813,10498,"TM7390,TS0005",4bc09ecdb492d13aee80a460,JD Sports,130,"['105A 106B B1-B7/9 The Gallery Metro Centre (Red Mall)', 'Gateshead', 'NE11 9YP', 'United Kingdom']",54.95711929952166,-1.6706176822090129,Sporting Goods Shop
10,TS0009,52.5849141267301,-2.1265319280354,WOLVERHAMPTON,WOLVERHAMPTON,ENG,12/13 Dudley Street,WV1 3EY,928,2585,"TM7159,TS0009",4c419349af052d7f9d887d79,JD Sports,118,"['Unit 14 Town Wharf Retail Park', 'Walsall', 'WS2 8LL', 'United Kingdom']",52.479636091840355,-2.127989,Sporting Goods Shop
11,TS0014,51.4610297313941,-0.30421890382246003,RICHMOND,RICHMOND,ENG,53/54 George Street,TW9 1HJ,640,2465,"TM7561,TS0014",4c0f573a2466a5931e797a21,JD Sports,5614,"['20 Church Street', 'Kingston', 'Greater London', 'KT1 1RJ', 'United Kingdom']",51.4105961,-0.3049785,Sporting Goods Shop
12,TS0018,52.4078284,-1.5110681333333302,COVENTRY,COVENTRY,ENG,54/56 Broadgate,CV1 1NF,13,4244,"TM7214,TS0018",4c0d1d4ab1b676b02811e086,JD Sports,104,"['Unit 40-44, 38 The Precinct', 'Coventry', 'CV1 1DE', 'United Kingdom']",52.320816,-1.5485,Sporting Goods Shop
13,TS0025,51.1147613295974,-0.186177566711947,CRAWLEY,CRAWLEY,ENG,Unit G,RH10 1ER,382,2725,"TM7101,TS0025",4e537e24fa766dacede54e3f,JD Sports,131,"['Aru11 South Terminal (LGW Airport)', 'West Sussex', 'RH6 0NP', 'United Kingdom']",51.11362940473109,-0.18563434481620789,Sporting Goods Shop
14,TS0028,50.8104466297461,-0.37090068667902204,WORTHING,WORTHING,ENG,21/23 Montague St,BN11 3HA,1502,2395,"TM7021,TS0028",5077eadee4b07d24af7a0a86,JD Sports,155,"['65 Montague Street', 'Worthing', 'West Sussex', 'BN11 3BN', 'United Kingdom']",50.8099969,-0.37299899999999997,Sporting Goods Shop
15,TS0030,50.69954131428571,-1.29515167142857,NEWPORT (IOW),NEWPORT IOW,ENG,20 St James Square,PO30 1UX,2120,1867,"TM7323,TS0030",4e57b2f67d8bf55c172b8892,JD Sports,67,"['110-112 High Street', 'Newport', 'Isle of Wight', 'PO30 1TJ', 'United Kingdom']",50.699739115311296,-1.296054124832153,Sporting Goods Shop
16,TS0032,51.509691948483706,-0.12290630193390199,LONDON (STRAND),STRAND,ENG,60/64 The Strand,WC2N 5LR,8515,3651,"TM8137,TS0032",4ac518f1f964a520ecad20e3,JD Sports,1309,"['197-203 Oxford Street', 'West End', 'Greater London', 'W1D 2LE', 'United Kingdom']",51.428388,-0.167446,Sporting Goods Shop
17,TS0035,51.3637800006178,-0.19380550618593498,SUTTON,SUTTON,ENG,137-145 High Street,SM1 1JQ,6023,2455,"TM7003,TS0035",4c0f573a2466a5931e797a21,JD Sports,119,"['163 High Street', 'Sutton', 'Greater London', 'SM1 1JN', 'United Kingdom']",51.33364326384707,-0.3049785,Sporting Goods Shop
18,TS0042,52.05886604724711,1.15431088614475,IPSWICH,IPSWICH,ENG,Unit 1,IP1 3BB,1868,3100,"TM7401,TS0042",4dda5438d4c05d50972d8bba,JD Sports,192,"['15 / 19 Westgate Street', 'Ipswich', 'Suffolk', 'IP1 3DR', 'United Kingdom']",52.05827618154913,1.1516600847244265,Sporting Goods Shop
19,TS0050,52.627002755273,1.2928123135246599,NORWICH,NORWICH,ENG,15/17 The Haymarket,NR2 1QL,8513,11500,"TM7232,TS0050",552f9959498e43895d1fe4f6,JD Sports,266,"['213 Merchants Hall Chapelfield Rd (Chapelfield Rd)', 'Norwich', 'Norfolk', 'NR2 1SU', 'United Kingdom']",52.625503995099365,1.2897428870201109,Sporting Goods Shop
20,TS0054,51.8484270078133,-0.38333415631641904,LUTON,LUTON,ENG,65-67 Arndale Centre,LU1 3TP,1474,3751,"TM7036,TS0054",4c39a9973849c928aaa1c1b1,JD Sports,1785,"['High Wycombe', 'Buckinghamshire', 'United Kingdom']",51.835648,-0.4155787825584412,Sporting Goods Shop
21,TS0057,53.59141210000001,-0.6486276,SCUNTHORPE,SCUNTHORPE,ENG,85/87 High Street,DN15 6LY,2180,1981,"TM7493,TS0057",51fcd166498ed0b6a69fef43,JD Sports,208,"['57 - 59 High Street', 'Scunthorpe', 'North Lincolnshire', 'DN15 6SB', 'United Kingdom']",53.59222860378956,-0.6457820534706116,Sporting Goods Shop
22,TS0058,55.8748242927602,-4.36400470703203,GLASGOW (BRAEHEAD PARK),BRAEHEAD PARK,SCO,Unit Lr42/lr43 Braehead Shopping Centre,G51 4BP,309,6400,"TM7813,TS0058",4e95865e722ed789ed0bf5e2,JD Sports,118,"['87-91 Argyle Street (St Enoch Shopping Centre)', 'Glasgow', 'Glasgow City', 'G2 8BJ', 'United Kingdom']",55.82106136560886,-4.433959,Sporting Goods Shop
23,TS0062,51.7514437497674,-0.33799150292311897,ST ALBANS,ST ALBANS,ENG,Unit 15,AL1 3HL,1602,4803,"TM7758,TS0062",4c39a9973849c928aaa1c1b1,JD Sports,6825,"['Hatfield Park Plaza, Comet Way (Comet Way)', 'Hatfield', 'Hertfordshire', 'AL10 0XX', 'United Kingdom']",51.749469540333045,-0.4712507128715515,Sporting Goods Shop
24,TS0063,52.2910216333333,-1.5347412666666698,LEAMINGTON SPA,LEAMINGTON SPA,ENG,4 Upper Mallstreet,CV32 4XT,1875,4300,"TM7193,TS0063",4d9dd22f5c33a35d530b0aa1,JD Sports,3446,['United Kingdom'],52.320816,-1.5485,Sporting Goods Shop
25,TS0065,53.7966088579932,-1.5427127939693002,LEEDS,LEEDS (TRINITY),ENG,44 Briggate,LS1 6HD,945,23550,"TM7202,TS0065",4bf90c63b182c9b6da5b785a,JD Sports,69,"['132 Briggate', 'Leeds', 'LS1 6HF', 'United Kingdom']",53.75814820000001,-1.6049748659133911,Sporting Goods Shop
26,TS0069,53.1448375484697,-1.19926521197409,MANSFIELD,MANSFIELD,ENG,Units 28-29,NG18 1SU,1841,3600,"TM7963,TS0069",4d308dc6d902236aa49354e4,JD Sports,65,"['5 East Mall Four Seasons Sc (East Mall)', 'Mansfield', 'Nottinghamshire', 'NG18 1SN', 'United Kingdom']",53.12532093389843,-1.2623955423279083,Sporting Goods Shop
27,TS0071,55.8575162318156,-4.25227214173861,GLASGOW,GLASGOW (ARGYLE ST),SCO,Unit 7/8,G2 8BJ,2167,13800,"TM7541,TS0071",4bf93d4f8d30d13ae8da0118,JD Sports,37,"['87-91 Argyle Street (St Enoch Shopping Centre)', 'Glasgow', 'Glasgow City', 'G2 8BJ', 'United Kingdom']",55.75972058202065,-4.433959,Sporting Goods Shop
28,TS0080,49.2066455,-2.1985384387445803,ST HELIER,JERSEY,JER,40 King Street,JE2 4WE,6044,1545,"TM7182,TS0080",4c7f9c0cd51ea143b1005b9f,JD Sports,7073,"['42 King St', 'St Helier', 'JE2 4WE', 'Jersey']",49.184661719838026,-2.107298939557211,Sporting Goods Shop
29,TS0088,56.1165394,-3.9334068999999996,STIRLING,STIRLING,SCO,Unit LSU2,FK8 2EA,1762,4300,"TM7088,TS0088",505c7c7ce4b0478c09b51e32,JD Sports,96,"['26 Thistle Centre (Goosecroft Rd)', 'Stirling', 'Stirlingshire', 'FK8 2EE', 'United Kingdom']",56.117401,-3.9334849999999997,Sporting Goods Shop
30,TS0100,51.537324501731995,-0.48735541143991606,UXBRIDGE,UXBRIDGE,ENG,"Unit 216, Upper Mall",UB8 1GE,530,1600,TM7196,4baf53ccf964a5202ef83be3,JD Sports,1165,"['12A Peascod St', 'Windsor', 'Berkshire', 'SL4 1DU', 'United Kingdom']",51.43513291664882,-0.6083850206934527,Sporting Goods Shop
31,TS0105,54.280936738948405,-0.402678817447179,SCARBOROUGH,SCARBOROUGH,ENG,Unit 29/30,YO11 1UE,1525,1390,"TM7067,TS0105",5017d704e4b06cec540a64cd,JD Sports,95,"['109 Westborough', 'Scarborough', 'North Yorkshire', 'YO11 1LD', 'United Kingdom']",54.28174277539518,-0.4021637754631229,Sporting Goods Shop
32,TS0108,54.0481482863929,-2.79983885053006,LANCASTER,LANCASTER,ENG,5-7 Penny Street,LA1 1UA,1666,2205,"TM7113,TS0108",55acdeff498e8f5c024df603,JD Sports,55,"['4-6 Penny Street', 'Lancaster', 'Lancashire', 'LA1 1UA', 'United Kingdom']",54.048635551678856,-2.800044612268493,Sporting Goods Shop
