,Host,TOWN,NAME,COUNTRY,Address1,Postcode,PNO,NSF,Branch IDs,Latitude,Longitude
0,TM7157,OLDHAM,OLDHAM,ENG,Unit 3,OL1 1XE,1361,2200,TM7157,53.5416716023565,-2.11224577491091
1,TM7345,CHESTER,CHESTER,ENG,12/14 St Michael's Square,CH1 1EE,1748,3300,"TM7345,TS0324",53.1896462036395,-2.8892523267285
2,TM7439,Z EIRE DUBLIN,DUBLIN (GRAFTON ST),EIR,41 Grafton Street,,5028,3300,TM7439,48.0565135,-4.1119257
3,TM7782,SHOREDITCH,SHOREDITCH,ENG,98 Commercial Street,E1 6LZ,968,1150,TM7782,51.5200231460575,-0.07425067734535
4,TM7815,DARLINGTON,DARLINGTON,ENG,28-34 Northgate,DL1 1NR,1660,2478,TM7815,54.5263498645011,-1.55435054934217
5,TM7939,KINGSTON,KINGSTON UPON THAMES,ENG,40 Clarence Street,KT1 1NR,7017,2097,TM7939,51.4106283,-0.3025727
6,TM8134,GLASGOW,GLASGOW BUCHANAN ST,SCO,The George Unit 1& 2,G1 2NG,404,8404,"TM8134,TS2876",55.8638626676302,-4.25318293851664
7,TS0001,LONDON (OXFORD CIRCUS),OXFORD CIRCUS,ENG,214 Oxford Street,W1W 8LG,8512,69207,"TM7329,TS0001",51.5155336,-0.141352
8,TS0003,BRENT CROSS,BRENT CROSS,ENG,"Unit 72, Brent Cross Shopping Centre",NW4 3FP,780,11237,"TM7218,TS0003",51.5744922,-0.2215646
9,TS0004,LIVERPOOL,LIVERPOOL,ENG,22/36 Church Street,L1 3AY,1479,20200,"TM7256,TS0004",53.4047412265498,-2.98254078973347
10,TS0005,GATESHEAD (METRO),GATESHEAD METRO CENTRE,ENG,Unit 57 Cameron Walk,NE11 9YR,1813,10498,"TM7390,TS0005",54.956483089938,-1.6689083161523
11,TS0009,WOLVERHAMPTON,WOLVERHAMPTON,ENG,12/13 Dudley Street,WV1 3EY,928,2585,"TM7159,TS0009",52.5849141267301,-2.1265319280354
12,TS0014,RICHMOND,RICHMOND,ENG,53/54 George Street,TW9 1HJ,640,2465,"TM7561,TS0014",51.461029731394,-0.30421890382246
13,TS0018,COVENTRY,COVENTRY,ENG,54/56 Broadgate,CV1 1NF,13,4244,"TM7214,TS0018",52.4078284,-1.51106813333333
14,TS0025,CRAWLEY,CRAWLEY,ENG,Unit G,RH10 1ER,382,2725,"TM7101,TS0025",51.1147613295974,-0.186177566711947
15,TS0028,WORTHING,WORTHING,ENG,21/23 Montague St,BN11 3HA,1502,2395,"TM7021,TS0028",50.8104466297461,-0.370900686679022
16,TS0030,NEWPORT (IOW),NEWPORT IOW,ENG,20 St James Square,PO30 1UX,2120,1867,"TM7323,TS0030",50.6995413142857,-1.29515167142857
17,TS0032,LONDON (STRAND),STRAND,ENG,60/64 The Strand,WC2N 5LR,8515,3651,"TM8137,TS0032",51.5096919484837,-0.122906301933902
18,TS0035,SUTTON,SUTTON,ENG,137-145 High Street,SM1 1JQ,6023,2455,"TM7003,TS0035",51.3637800006178,-0.193805506185935
19,TS0042,IPSWICH,IPSWICH,ENG,Unit 1,IP1 3BB,1868,3100,"TM7401,TS0042",52.0588660472471,1.15431088614475
20,TS0050,NORWICH,NORWICH,ENG,15/17 The Haymarket,NR2 1QL,8513,11500,"TM7232,TS0050",52.627002755273,1.29281231352466
21,TS0053,COLERAINE,COLERAINE,NI,30/32 Church Street,BT52 1AR,1885,2377,"TM7407,TS0053",47.28883,-93.427708
22,TS0054,LUTON,LUTON,ENG,65-67 Arndale Centre,LU1 3TP,1474,3751,"TM7036,TS0054",51.8484270078133,-0.383334156316419
23,TS0057,SCUNTHORPE,SCUNTHORPE,ENG,85/87 High Street,DN15 6LY,2180,1981,"TM7493,TS0057",53.5914121,-0.6486276
24,TS0058,GLASGOW (BRAEHEAD PARK),BRAEHEAD PARK,SCO,Unit Lr42/lr43 Braehead Shopping Centre,G51 4BP,309,6400,"TM7813,TS0058",55.8748242927602,-4.36400470703203
25,TS0062,ST ALBANS,ST ALBANS,ENG,Unit 15,AL1 3HL,1602,4803,"TM7758,TS0062",51.7514431440532,-0.337990851494548
26,TS0063,LEAMINGTON SPA,LEAMINGTON SPA,ENG,4 Upper Mallstreet,CV32 4XT,1875,4300,"TM7193,TS0063",52.2910216333333,-1.53474126666667
27,TS0065,LEEDS,LEEDS (TRINITY),ENG,44 Briggate,LS1 6HD,945,23550,"TM7202,TS0065",53.7966088579932,-1.5427127939693
